Parent,name,class,datatype,units,High Normal,Low Normal,Allow Decimal,locale,synonym.1,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8,answer.9,answer.10,answer.11,answer.12,shortname,child.1,child.2,child.3,child.4,child.5,child.6,child.7,reference-term-source,reference-term-code,reference-term-relationship
Domains of Indian Life style - I,Sitting & getting out of a chair,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,Not applicable,,,,,,,,,,,,,,,,,
Domains of Indian Life style - I,Sitting down & standing up from floor,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,Not applicable,FU 4,FU 5,FU 6,FU 7,FU 8,,,,,,,,,,,,
Domains of Indian Life style - I,Standing a long time,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,Not applicable,,,,,,,,,,,,,,,,,
Domains of Indian Life style - I,Lying down over a cot,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,Not applicable,,,,,,,,,,,,,,,,,
Domains of Indian Life style - I,Climbing the steps,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,Not applicable,,,,,,,,,,,,,,,,,
Domains of Indian Life style - I,Wearing footwear,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,Not applicable,,,,,,,,,,,,,,,,,
Domains of Indian Life style - I,Walking a long distance,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,Not applicable,,,,,,,,,,,,,,,,,
Domains of Indian Life style - I,Traveling by public transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mobility,Misc,Block,,,,,,Domains of Indian Life style - I,,,,,,,,,,,,,,,,,,,,,,,
Domains of Indian Life style - II,Dressing by myself,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,Not applicable,,,,,,,,,,,,,,,,,
Domains of Indian Life style - II,Bathing,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,Not applicable,,,,,,,,,,,,,,,,,
Domains of Indian Life style - II,Washing clothes yourself,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,Not applicable,,,,,,,,,,,,,,,,,
Domains of Indian Life style - II,Difficulty in Using Indian toilet,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,Not applicable,,,,,,,,,,,,,,,,,
Domains of Indian Life style - II,Difficulty in Using European toilet,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,Not applicable,,,,,,,,,,,,,,,,,
,Self care,Misc,Block,,,,,,Domains of Indian Life style - II,,,,,,,,,,,,,,,,,,,,,,,
Domains of Indian Life style - III,Problem in cooking,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,Not applicable,,,,,,,,,,,,,,,,,
Domains of Indian Life style - III,Difficulty in Cleaning the floors,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,Not applicable,,,,,,,,,,,,,,,,,
Domains of Indian Life style - III,Difficulty in gardening,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,Not applicable,,,,,,,,,,,,,,,,,
Domains of Indian Life style - III,Difficulty in doing agrarian work,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,Not applicable,,,,,,,,,,,,,,,,,
Domains of Indian Life style - III,Difficulty in continuing the normal leisure activities,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,Not applicable,,,,,,,,,,,,,,,,,
Domains of Indian Life style - III,Difficulty in continuing the job,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,Not applicable,,,,,,,,,,,,,,,,,
Domains of Indian Life style - III,Difficulty in continuing the education,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,Not applicable,,,,,,,,,,,,,,,,,
,Usual activities,Misc,Block,,,,,,Domains of Indian Life style - III,,,,,,,,,,,,,,,,,,,,,,,
Domains of Indian Life style - IV,"History of painful redness, swelling and cellulitis of leg (filarial fever)",Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,Not applicable,,,,,,,,,,,,,,,,,
Domains of Indian Life style - IV,Foul smell (odour),Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,Not applicable,,,,,,,,,,,,,,,,,
Domains of Indian Life style - IV,Itching (Eczema/Discharge from limb),Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,Not applicable,,,,,,,,,,,,,,,,,
Domains of Indian Life style - IV,Wound (non-healing ulcer),Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,Not applicable,,,,,,,,,,,,,,,,,
Domains of Indian Life style - IV,Weight/size of limb,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,Not applicable,,,,,,,,,,,,,,,,,
,Disease burden,Misc,Block,,,,,,Domains of Indian Life style - IV,,,,,,,,,,,,,,,,,,,,,,,
Domains of Indian Life style - V,Pain increase at night,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,Not applicable,,,,,,,,,,,,,,,,,
Domains of Indian Life style - V,Pain increase during the day,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,Not applicable,,,,,,,,,,,,,,,,,
Domains of Indian Life style - V,Pain increase while walking,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,Not applicable,,,,,,,,,,,,,,,,,
Domains of Indian Life style - V,Pain increase while sitting,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,Not applicable,,,,,,,,,,,,,,,,,
Domains of Indian Life style - V,Pain increase in joints,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,Not applicable,,,,,,,,,,,,,,,,,
Domains of Indian Life style - V,Pain in the unaffected part of the body,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,Not applicable,,,,,,,,,,,,,,,,,
Domains of Indian Life style - V,Painful ulcer,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,Not applicable,,,,,,,,,,,,,,,,,
,Pain/Discomfort,Misc,Block,,,,,,Domains of Indian Life style - V,,,,,,,,,,,,,,,,,,,,,,,
Domains of Indian Life style - VI,Do you have a sense of failure,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,Not applicable,,,,,,,,,,,,,,,,,
Domains of Indian Life style - VI,Fear something bad might happen to you,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,Not applicable,,,,,,,,,,,,,,,,,
Domains of Indian Life style - VI,Discouraged/tensed about the future,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,Not applicable,,,,,,,,,,,,,,,,,
Domains of Indian Life style - VI,Feeling neglected by friends and family members,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,Not applicable,,,,,,,,,,,,,,,,,
Domains of Indian Life style - VI,Feeling lonely,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,Not applicable,,,,,,,,,,,,,,,,,
Domains of Indian Life style - VI,Feeling tensed about your disease,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,Not applicable,,,,,,,,,,,,,,,,,
Domains of Indian Life style - VI,Difficulty in concentration & memory,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,Not applicable,,,,,,,,,,,,,,,,,
,Pyschological health,Misc,Block,,,,,,Domains of Indian Life style - VI,,,,,,,,,,,,,,,,,,,,,,,
Domains of Indian Life style - VII,Has your lifestyle changed after getting the disease,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,Not applicable,,,,,,,,,,,,,,,,,
Domains of Indian Life style - VII,Do you have problem moving arounf freely without feeling self-conscious,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,Not applicable,,,,,,,,,,,,,,,,,
Domains of Indian Life style - VII,Do you have problem approaching people in the community,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,Not applicable,,,,,,,,,,,,,,,,,
Domains of Indian Life style - VII,Do you have problem joining in social activities / get together,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,Not applicable,,,,,,,,,,,,,,,,,
Domains of Indian Life style - VII,How much problem you have faced due to ill health,Misc,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,Not applicable,,,,,,,,,,,,,,,,,
