Parent,name,class,datatype,units,High Normal,Low Normal,Allow Decimal,locale,synonym.1,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8,answer.9,answer.10,answer.11,answer.12,shortname,child.1,child.2,child.3,child.4,child.5,child.6,child.7,reference-term-source,reference-term-code,reference-term-relationship
General,How is the improvement?,Misc,Coded,,,,,,,Improved,Not improved,Worsened,Remains same,,,,,,,,,,,,,,,,,,,
General,Are you satisfied?,Misc,Boolean,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,Not applicable,,,,,,,,,,,,,,,,,
General,Whether bystander who was trained attended follow up?,Misc,Coded,,,,,,,Attended,Not attended,"If not, why",,,,,,,,,,,,,,,,,,,,
General,Are you following all treatment procedures,Misc,Boolean,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,Not applicable,,,,,,,,,,,,,,,,,
Phanta Soaking Churna,Which phanta churna you use?,Misc,Coded,,,,,,,Triphala,Yashtimadhu,Manjista,Sariva,,,,,,,,,,,,,,,,,,,
Phanta Soaking Churna,Grams per day,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phanta Soaking practice,Whether you are practicing phanta soaking daily?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phanta Soaking practice,How many minutes a day?,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phanta Soaking preparation,Gms of powder,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phanta Soaking preparation,Liter of water,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phanta Soaking preparation,liter of luke warm water,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Any changes observed?,Misc,Text,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,Not applicable,,,,,,,,,,,,,,,,,
,Phanta Soaking Details,Misc,Block,,,,,,"Phanta Soaking Churna,Phanta Soaking practice,Phanta Soaking preparation,Any changes observed?",,,,,,,,,,,,,,,,,,,,,,,
Pre and post IMLD yoga,Are you practicing yoga regularly?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre and post IMLD yoga,Pre IMLD yoga,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
