Parent,name,class,datatype,units,High Normal,Low Normal,Allow Decimal,locale,synonym.1,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8,answer.9,answer.10,answer.11,answer.12,shortname,child.1,child.2,child.3,child.4,child.5,child.6,child.7,reference-term-source,reference-term-code,reference-term-relationship
Baseline Past History - 1/2,First diagnosis: Year and place,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baseline Past History - 1/2,Investigation used for confirmation,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baseline Past History - 1/2,"First Episode of ""Filiarial Fever""",Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baseline Past History - 1/2,"Last Episode of ""Filiarial Fever""",Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baseline Past History - 1/2,Frequence of fever and redness of limb,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baseline Past History - 1/2,Medicines used to control inflammatory episode,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baseline Past History - 2/2,Routine DEC consumption,Misc,Coded,,,,,,,Banocide,Hetrazan,Eofil,Other,,,,,,,,,,,,,,,,,,,
Baseline Past History - 2/2,Who Suggested,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baseline Past History - 2/2,What frequency,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baseline Past History - 2/2,Diuretics used to control oedema?,Misc,Coded,,,,,,,Lasix,Dytide,Aldactone,Punarnavasana,Lymphedem,Deaflon,Other,,,,,,,,,,,,,,,,
Baseline Past History - 2/2,Who Suggested,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baseline Past History - 2/2,What frequency,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baseline Treatment History - 1/3,Whether treated for Filariasis,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baseline Treatment History - 1/3,Alternative systems tried,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baseline Treatment History - 1/3,If so which one?,Misc,Text,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,
Baseline Treatment History - 1/3,Practising yoga/physical exercise,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baseline Treatment History - 1/3,If so give details,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baseline Treatment History - 1/3,Special washing of the limb practiced everyday,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baseline Treatment History - 2/3,If so give details,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baseline Treatment History - 2/3,Practising compression dressing,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baseline Treatment History - 2/3,If so give details,Misc,Text,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,
Baseline Treatment History - 2/3,Regularity of using compression bandages,Misc,Coded,,,,,,,Regular,Irregular,Not at all,,,,,,,,,,,,,,,,,,,,
