Parent,name,class,datatype,units,High Normal,Low Normal,Allow Decimal,locale,synonym.1,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8,answer.9,answer.10,answer.11,answer.12,shortname,child.1,child.2,child.3,child.4,child.5,child.6,child.7,reference-term-source,reference-term-code,reference-term-relationship
Grading check,Odema Right,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grading check,Odema Left,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grading check,Grade Right,Misc,Coded,,,,,,,"I - Pitting edemaoedema may present, completely resolve on elevation (during overnight) and normal skin","II(early) - Pitting edemaoedema manifests, does not resolve completely  on elevation (overnight). Normal skin",II(late) - Late stages of II with non-pitting oedema & thickened skin,"III - Oedema is not pitting with tropic skin changes: Acanthosis, Fat deposits, Warty over growth",,,,,,,,,,,,,,,,,,,
Grading check,Grade Left,Misc,Coded,,,,,,,"I - Pitting edemaoedema may present, completely resolve on elevation (during overnight) and normal skin","II(early) - Pitting edemaoedema manifests, does not resolve completely  on elevation (overnight). Normal skin",II(late) - Late stages of II with non-pitting oedema & thickened skin,,,,,,,,,,,,,,,,,,,,
,Obesity related?,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Is it lipedema,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Grading*,Misc,Block,,,,,,"Odema,Grade",,,,,,,,,,,,,,,,,,,,,,,
Second great toe,Right skin fold,Misc,Coded,,,,,,,1+ Easily pinchable like normal skin,2+ Skin Thickened but pinchable,3+ Skin Thickened but hardly pinchable,4+ Skin Thickened can not be pinched; Stemmer's Sign Positive,,,,,,,,,,,,,,,,,,,
Second great toe,Left skin fold,Misc,Coded,,,,,,,1+ Easily pinchable like normal skin,2+ Skin Thickened but pinchable,3+ Skin Thickened but hardly pinchable,4+ Skin Thickened can not be pinched; Stemmer's Sign Positive,,,,,,,,,,,,,,,,,,,
Mid foot,Right skin fold,Misc,Coded,,,,,,,1+ Easily pinchable like normal skin,2+ Skin Thickened but pinchable,3+ Skin Thickened but hardly pinchable,4+ Skin Thickened can not be pinched; Stemmer's Sign Positive,,,,,,,,,,,,,,,,,,,
Mid foot,Left skin fold,Misc,Coded,,,,,,,1+ Easily pinchable like normal skin,2+ Skin Thickened but pinchable,3+ Skin Thickened but hardly pinchable,4+ Skin Thickened can not be pinched; Stemmer's Sign Positive,,,,,,,,,,,,,,,,,,,
Any changes in grading at the different locations of limb,Right?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Any changes in grading at the different locations of limb,Left?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Skin Fold thickness,Misc,Block,,,,,,"Second great toe,Mid foot,Any changes in grading at the different locations of limb",,,,,,,,,,,,,,,,,,,,,,,
,3.6 Assessment of Lymphoedema,Misc,Block,,,,,,"Grading check,Skin Fold thickness",,,,,,,,,,,,,,,,,,,,,,,
