Parent,name,class,datatype,units,High Normal,Low Normal,Allow Decimal,locale,synonym.1,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8,answer.9,answer.10,answer.11,answer.12,shortname,child.1,child.2,child.3,child.4,child.5,child.6,child.7,reference-term-source,reference-term-code,reference-term-relationship
Entry points,Right?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Entry points,Left?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ulcers,Right?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ulcers,Left?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Folliculitis,Right?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Folliculitis,Left?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excoriations,Right?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excoriations,Left?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eczema,Right?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eczema,Left?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paronychia,Right?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paronychia,Left?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fissure foot,Right?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fissure foot,Left?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caries teeth,Presence,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interdigital:,Right?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interdigital:,Left?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First:,Right?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First:,Left?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Second:,Right?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Second:,Left?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Third:,Right?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Third:,Left?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fourth:,Right?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fourth:,Left?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Between folds:,Right?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Between folds:,Left?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keratoderma,Right?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keratoderma,Left?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thickening of skin,Right?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thickening of skin,Left?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warty growth,Right?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warty growth,Left?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nodules,Right?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nodules,Left?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scars,Right?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scars,Left?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erythema,Right?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erythema,Left?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temperature on area of the redness,Right?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temperature on area of the redness,Left?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tenderness on erythema,Right?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tenderness on erythema,Left?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinical evidence of cellulitis,Right?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinical evidence of cellulitis,Left?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warmth on limb Sites,Right?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warmth on limb Sites,Left?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colour of the skin,Right?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colour of the skin,Left?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Growth of hair,Right?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Growth of hair,Left?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,Right?,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,Left?,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Intertrigo,Misc,Block,,,,,,"Interdigital:,First:,Second:,Third:,Fourth:,Between folds:",,,,,,,,,,,,,,,,,,,,,,,
,General Dermatological Exam-1,Misc,Block,,,,,,"Entry points,Ulcers,Folliculitis,Excoriations,Eczema,Paronychia,Fissure foot,Caries teeth,Intertrigo,Keratoderma",,,,,,,,,,,,,,,,,,,,,,,
,General Dermatological Exam-2,Misc,Block,,,,,,"Thickening of skin,Warty growth,Nodules,Scars,Erythema,Temperature on area of the redness,Tenderness on erythema,Clinical evidence of cellulitis,Warmth on limb Sites,Colour of the skin",,,,,,,,,,,,,,,,,,,,,,,
,General Dermatological Exam-3,Misc,Block,,,,,,"Growth of hair,Other",,,,,,,,,,,,,,,,,,,,,,,
ADLA,Fever with chills and rigor,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADLA,Nausea and vomiting,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADLA,Lymphadenitis,Misc,Coded,,,,,,,Right,Left,Both,,,,,,,,,,,,,,,,,,,,
ADLA,Warmth,Misc,Coded,,,,,,,Right,Left,Both,,,,,,,,,,,,,,,,,,,,
ADLA,Erythema,Misc,Coded,,,,,,,Right,Left,Both,,,,,,,,,,,,,,,,,,,,
ADLA,Tenderness,Misc,Coded,,,,,,,Right,Left,Both,,,,,,,,,,,,,,,,,,,,
ADLA,Affected limb,Misc,Coded,,,,,,,Right,Left,Both,,,,,,,,,,,,,,,,,,,,
,3.7 Dermatological Examination,Misc,Block,,,,,,"General Dermatological Exam-1,General Dermatological Exam-2,General Dermatological Exam-3,ADLA",,,,,,,,,,,,,,,,,,,,,,,
