Parent,name,class,datatype,units,High Normal,Low Normal,Allow Decimal,locale,synonym.1,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8,answer.9,answer.10,answer.11,answer.12,shortname,child.1,child.2,child.3,child.4,child.5,child.6,child.7,reference-term-source,reference-term-code,reference-term-relationship
HIP,Right,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIP,Left,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KNEE,Right,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KNEE,Left,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Flexion,Misc,Block,,,,,,"HIP,KNEE",,,,,,,,,,,,,,,,,,,,,,,
,Extension,Misc,Block,,,,,,"HIP,KNEE",,,,,,,,,,,,,,,,,,,,,,,
,Abduction,Misc,Block,,,,,,"HIP,KNEE",,,,,,,,,,,,,,,,,,,,,,,
,Adduction,Misc,Block,,,,,,"HIP,KNEE",,,,,,,,,,,,,,,,,,,,,,,
,Int Rotation,Misc,Block,,,,,,"HIP,KNEE",,,,,,,,,,,,,,,,,,,,,,,
,Ext Rotation,Misc,Block,,,,,,"HIP,KNEE",,,,,,,,,,,,,,,,,,,,,,,
ANKLE,Right,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANKLE,Left,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOE,Right,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOE,Left,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Plantar Flexion,Misc,Block,,,,,,"ANKLE, TOE",,,,,,,,,,,,,,,,,,,,,,,
,Dorsi Flexion,Misc,Block,,,,,,"ANKLE, TOE",,,,,,,,,,,,,,,,,,,,,,,
,Assessment of ROM,Misc,Block,,,,,,"Flexion,Extension,Abduction,Adduction,Int Rotation,Ext Rotation,Plantar Flexion,Dorsi Flexion",,,,,,,,,,,,,,,,,,,,,,,
,Compensatory Movements,Misc,Coded,,,,,,,Present,Absent,,,,,,,,,,,,,,,,,,,,,
,Shifting of weight,Misc,Coded,,,,,,,Present,Absent,,,,,,,,,,,,,,,,,,,,,
,Initial contact,Misc,Coded,,,,,,,Present,Absent,,,,,,,,,,,,,,,,,,,,,
,Push off,Misc,Coded,,,,,,,Present,Absent,,,,,,,,,,,,,,,,,,,,,
,Shift of COG,Misc,Coded,,,,,,,Anterior,Posterior,No change,,,,,,,,,,,,,,,,,,,,
,Arm Swing,Misc,Coded,,,,,,,Present,Absent,,,,,,,,,,,,,,,,,,,,,
