Parent,name,class,datatype,units,High Normal,Low Normal,Allow Decimal,locale,synonym.1,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8,answer.9,answer.10,answer.11,answer.12,shortname,child.1,child.2,child.3,child.4,child.5,child.6,child.7,reference-term-source,reference-term-code,reference-term-relationship
,Gait Change Examination,Misc,Coded,,,,,,,Baseline,Followup,Left side lower,,,,,,,,,,,,,,,,,,,,
Bunion,Affected limb,Misc,Coded,,,,,,,Right,Left,,,,,,,,,,,,,,,,,,,,,
Bunion,Duration,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tailor's Bunion,Affected limb,Misc,Coded,,,,,,,Right,Left,,,,,,,,,,,,,,,,,,,,,
Tailor's Bunion,Duration,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hammertoe deformity,Affected limb,Misc,Coded,,,,,,,Right,Left,,,,,,,,,,,,,,,,,,,,,
Hammertoe deformity,Duration,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flat Foot,Affected limb,Misc,Coded,,,,,,,Right,Left,,,,,,,,,,,,,,,,,,,,,
Flat Foot,Duration,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyperextension of toe (Hitchhiker's Toe),Affected limb,Misc,Coded,,,,,,,Right,Left,,,,,,,,,,,,,,,,,,,,,
Hyperextension of toe (Hitchhiker's Toe),Duration,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pronated foot,Affected limb,Misc,Coded,,,,,,,Right,Left,,,,,,,,,,,,,,,,,,,,,
Pronated foot,Duration,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Foot,Misc,Block,,,,,,"Bunion,Tailor's Bunion,Hammertoe deformity,Flat Foot,Hyperextension of toe (Hitchhiker's Toe),Pronated foot",,,,,,,,,,,,,,,,,,,,,,,
Genu valgum,Affected limb,Misc,Coded,,,,,,,Right,Left,,,,,,,,,,,,,,,,,,,,,
Genu valgum,Duration,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flexion contracture of knee,Affected limb,Misc,Coded,,,,,,,Right,Left,,,,,,,,,,,,,,,,,,,,,
Flexion contracture of knee,Duration,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excessive knee extension,Affected limb,Misc,Coded,,,,,,,Right,Left,,,,,,,,,,,,,,,,,,,,,
Excessive knee extension,Duration,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baker's cyst,Affected limb,Misc,Coded,,,,,,,Right,Left,,,,,,,,,,,,,,,,,,,,,
Baker's cyst,Duration,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Knee,Misc,Block,,,,,,"Genu valgum,Flexion contracture of knee,Excessive knee extension,Baker's cyst",,,,,,,,,,,,,,,,,,,,,,,
Outer rotation of hip,Affected limb,Misc,Coded,,,,,,,Right,Left,,,,,,,,,,,,,,,,,,,,,
Outer rotation of hip,Duration,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anterior pelvic tilt,Affected limb,Misc,Coded,,,,,,,Right,Left,,,,,,,,,,,,,,,,,,,,,
Anterior pelvic tilt,Duration,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lateral pelvic tilt,Affected limb,Misc,Coded,,,,,,,Right,Left,,,,,,,,,,,,,,,,,,,,,
Lateral pelvic tilt,Duration,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hip,Misc,Block,,,,,,"Outer rotation of hip,Anterior pelvic tilt,Lateral pelvic tilt",,,,,,,,,,,,,,,,,,,,,,,
Corn/callus formation,Affected limb right,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corn/callus formation,Affected limb left,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corn/callus formation,Duration,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sole,Misc,Block,,,,,,Corn/callus formation,,,,,,,,,,,,,,,,,,,,,,,
,Recommended exercises,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Structural changes due to improper gait,Misc,Block,,,,,,"Foot,Knee,Hip,Sole,Recommended exercises",,,,,,,,,,,,,,,,,,,,,,,
