Parent,name,class,datatype,units,High Normal,Low Normal,Allow Decimal,locale,synonym.1,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8,answer.9,answer.10,answer.11,answer.12,shortname,child.1,child.2,child.3,child.4,child.5,child.6,child.7,reference-term-source,reference-term-code,reference-term-relationship
Activities of Multipurpose Health Worker,Removing/Training/monitoring the care of bandages,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activities of Multipurpose Health Worker,Hair parrying /nail Parrying,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activities of Multipurpose Health Worker,Soap for skin wash,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activities of Multipurpose Health Worker,Skin wash with Soap and Water.. Which Soap?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activities of Multipurpose Health Worker,Ringer lactate spray,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activities of Multipurpose Health Worker,Soaking in warm phanta,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activities of Multipurpose Health Worker,Drying of inter Digital clefts with Cotton cloth/dryer,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activities of Multipurpose Health Worker,Drying of Folds with Cotton Pad,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activities of Multipurpose Health Worker,Application of cream,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activities of Multipurpose Health Worker,Preparation of swedana,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activities of Multipurpose Health Worker,Training the bystander,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activities of Multipurpose Health Worker,Reviewer,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phanta preparation,Measure,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phanta preparation,Preparation of phanta,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phanta preparation,Reviewer,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yogic breathing,Drusthi,Misc,Coded,,,,,,,Day 1,Day 2,Day 3,Day 4,Day 5,,,,,,,,,,,,,,,,,,
Yogic breathing,Chinmudra,Misc,Coded,,,,,,,Day 1,Day 2,Day 3,Day 4,Day 5,,,,,,,,,,,,,,,,,,
Yogic breathing,Mrugimudra,Misc,Coded,,,,,,,Day 1,Day 2,Day 3,Day 4,Day 5,,,,,,,,,,,,,,,,,,
Yogic breathing,Samasthithi,Misc,Coded,,,,,,,Day 1,Day 2,Day 3,Day 4,Day 5,,,,,,,,,,,,,,,,,,
Yogic breathing,Sthithi(Final Position),Misc,Coded,,,,,,,Day 1,Day 2,Day 3,Day 4,Day 5,,,,,,,,,,,,,,,,,,
 ,Activities for yoga therapist,Misc,Block,,,,,,Yogic breathing,,,,,,,,,,,,,,,,,,,,,,,
Pre-Indian Manual Lymph Drainage Yoga (to be practiced without compression),Thada Asana 1,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-Indian Manual Lymph Drainage Yoga (to be practiced without compression),Thada Asana 2,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-Indian Manual Lymph Drainage Yoga (to be practiced without compression),Thrikona Asana,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-Indian Manual Lymph Drainage Yoga (to be practiced without compression),Ujjayee,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-Indian Manual Lymph Drainage Yoga (to be practiced without compression),Anuloma-viloma,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-Indian Manual Lymph Drainage Yoga (to be practiced without compression),Rachaka-Kumbhaka,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-Indian Manual Lymph Drainage Yoga (to be practiced without compression),Suryabhedana,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-Indian Manual Lymph Drainage Yoga (to be practiced without compression),Bhastrika,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-Indian Manual Lymph Drainage Yoga (to be practiced without compression),Swasthika Asana,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-Indian Manual Lymph Drainage Yoga (to be practiced without compression),Vajra Asana,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-Indian Manual Lymph Drainage Yoga (to be practiced without compression),Padmasana,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-Indian Manual Lymph Drainage Yoga (to be practiced without compression),Gomukh Asana,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-Indian Manual Lymph Drainage Yoga (to be practiced without compression),Bhekasana,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-Indian Manual Lymph Drainage Yoga (to be practiced without compression),Makarasana,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-Indian Manual Lymph Drainage Yoga (to be practiced without compression),Prasruthahastha Padhasana,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-Indian Manual Lymph Drainage Yoga (to be practiced without compression),Vipareethakarani,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-Indian Manual Lymph Drainage Yoga (to be practiced without compression),Shavasana-1,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-Indian Manual Lymph Drainage Yoga (to be practiced without compression),Shavasana-2,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-Indian Manual Lymph Drainage Yoga (to be practiced without compression),Vajra Asana,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-Indian Manual Lymph Drainage Yoga (to be practiced without compression),Prasruthahastha Padhasana,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-Indian Manual Lymph Drainage Yoga (to be practiced without compression),Padmasana,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-Indian Manual Lymph Drainage Yoga (to be practiced without compression),Gomukh Asana,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-Indian Manual Lymph Drainage Yoga (to be practiced without compression),Reviewer,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post-Indian Manual Lymph Drainage Yoga (to be practiced with compression),Thada Asana 1,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post-Indian Manual Lymph Drainage Yoga (to be practiced with compression),Thada Asana 2,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post-Indian Manual Lymph Drainage Yoga (to be practiced with compression),Thrikona Asana,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post-Indian Manual Lymph Drainage Yoga (to be practiced with compression),Ujjayee,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post-Indian Manual Lymph Drainage Yoga (to be practiced with compression),Anuloma-viloma,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post-Indian Manual Lymph Drainage Yoga (to be practiced with compression),Rachaka-Kumbhaka,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post-Indian Manual Lymph Drainage Yoga (to be practiced with compression),Suryabhedana,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post-Indian Manual Lymph Drainage Yoga (to be practiced with compression),Bhastrika,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post-Indian Manual Lymph Drainage Yoga (to be practiced with compression),Swasthika Asana,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post-Indian Manual Lymph Drainage Yoga (to be practiced with compression),Vajra Asana,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post-Indian Manual Lymph Drainage Yoga (to be practiced with compression),Padmasana,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post-Indian Manual Lymph Drainage Yoga (to be practiced with compression),Gomukh Asana,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post-Indian Manual Lymph Drainage Yoga (to be practiced with compression),Bhekasana,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post-Indian Manual Lymph Drainage Yoga (to be practiced with compression),Makarasana,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post-Indian Manual Lymph Drainage Yoga (to be practiced with compression),Prasruthahastha Padhasana,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post-Indian Manual Lymph Drainage Yoga (to be practiced with compression),Vipareethakarani,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post-Indian Manual Lymph Drainage Yoga (to be practiced with compression),Shavasana-1,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post-Indian Manual Lymph Drainage Yoga (to be practiced with compression),Shavasana-2,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post-Indian Manual Lymph Drainage Yoga (to be practiced with compression),Vajra Asana,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post-Indian Manual Lymph Drainage Yoga (to be practiced with compression),Prasruthahastha Padhasana,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post-Indian Manual Lymph Drainage Yoga (to be practiced with compression),Padmasana,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post-Indian Manual Lymph Drainage Yoga (to be practiced with compression),Gomukh Asana,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post-Indian Manual Lymph Drainage Yoga (to be practiced with compression),Reviewer,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Additional Exercises,Balancing Over heels and heel raising,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Additional Exercises,Standing Hip flexion,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Additional Exercises,Side Walking,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Additional Exercises,Pelvic exercises,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Check for Hyperventilation symptoms during and after yoga,Chest Pain,Misc,Coded,,,,,,,Before,After,Both,,,,,,,,,,,,,,,,,,,,
Check for Hyperventilation symptoms during and after yoga,Feeling Tensed,Misc,Coded,,,,,,,Before,After,Both,,,,,,,,,,,,,,,,,,,,
Check for Hyperventilation symptoms during and after yoga,Blurred Vision,Misc,Coded,,,,,,,Before,After,Both,,,,,,,,,,,,,,,,,,,,
