Parent,name,class,datatype,units,High Normal,Low Normal,Allow Decimal,locale,synonym.1,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8,answer.9,answer.10,answer.11,answer.12,shortname,child.1,child.2,child.3,child.4,child.5,child.6,child.7,reference-term-source,reference-term-code,reference-term-relationship
Impression of Integrative Medical Team,Summary,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Impression of Integrative Medical Team,Need change from routine protocol?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Impression of Integrative Medical Team,Skin wash?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Impression of Integrative Medical Team,Phanta?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Impression of Integrative Medical Team,IMLD1?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Impression of Integrative Medical Team,IMLD2?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Impression of Integrative Medical Team,Compression Therapy?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Impression of Integrative Medical Team,Yoga Exercise?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Impression of Integrative Medical Team,Any other ?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Impression of Integrative Medical Team,Approver,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
