Parent,name,class,datatype,units,High Normal,Low Normal,Allow Decimal,locale,synonym.1,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8,answer.9,answer.10,answer.11,answer.12,shortname,child.1,child.2,child.3,child.4,child.5,child.6,child.7,reference-term-source,reference-term-code,reference-term-relationship
,Limb Status,Misc,Coded,,,,,,,Bilateral,Unilateral,Upper limb,Genital,,,,,,,,,,,,,,,,,,,
,Assessment type,Misc,Coded,,,,,,,Baseline,7th day,Discharge,FU 1,FU 2,FU 3,FU 4,FU 5,FU 6,FU 7,FU 8,,,,,,,,,,,,
Asana - 1/4,Thada asana I,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asana - 1/4,Thada asana II ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asana - 1/4,Thrikona asana ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asana - 1/4,Ujjayi ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asana - 1/4,Anuloma-viloma ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asana - 1/4,Rechaka-kumbhaka ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asana - 1/4,Sundedhana ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asana - 1/4,Bhastrika ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asana - 2/4,Swasthika asana ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asana - 2/4,Vajra asana ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asana - 2/4,Padma asana ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asana - 2/4,Gomukha asana ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asana - 2/4,Padmagulinama asana ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asana - 2/4,Gulfa namana asana ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asana - 2/4,Gulfa chakra asana ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asana - 2/4,Paschimothana asana ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asana - 3/4,Bheka asana ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asana - 3/4,Bhujanga asana ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asana - 3/4,Matsya asana ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asana - 3/4,Prsrutha hastha pada asana ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asana - 3/4,Vipareethakarani ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asana - 3/4,Skanda chakra asana ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asana - 3/4,Rajju karshana asana ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asana - 3/4,Kashta thakshana asana ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asana - 4/4,Greeva sanchalana ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asana - 4/4,Mustika bandha ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asana - 4/4,Manibandha asana ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asana - 4/4,Manibandha chakra asana ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asana - 4/4,Kehuni namana asana ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asana - 4/4,Shava asana I ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asana - 4/4,Shava asana II ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Scores obtained,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asanas,Misc,Block,,"Limb Status,Assessment type,Asana-1/4,Asana-2/4,Asana-3/4,Asana-4/4,Scores obtained,Percentage",,,,,,,,,,,,,,,,,,,,,,,,,,,
