uuid,name,description,class,datatype,shortname,synonym.1,synonym.2,synonym.3,answer.1,reference-term-source,reference-term-code,reference-term-relationship
,Wrap,,Misc,N/A,Wrap,,,,,,,
,Pad,,Misc,N/A,Pad,,,,,,,
,Band,,Misc,N/A,Band,,,,,,,
,Grip,,Misc,N/A,Grip,,,,,,,
,Wrap,,Misc,N/A,Wrap,,,,,,,
,Stockings,,Misc,N/A,Stockings,,,,,,,
,Bottle,,Misc,N/A,Bottle,,,,,,,
,Kashayam,,Misc,N/A,Kashayam,,,,,,,
,Choornam,,Misc,N/A,Choornam,,,,,,,
,Kashayam,,Misc,N/A,Kashayam,,,,,,,
,Lehyam,,Misc,N/A,Lehyam,,,,,,,
,Thailam,,Misc,N/A,Thailam,,,,,,,
,Kashayam,,Misc,N/A,Kashayam,,,,,,,
,Accessory,,Misc,N/A,Accessory,,,,,,,
,Hygine,,Misc,N/A,Hygine,,,,,,,
