Parent,name,class,datatype,units,High Normal,Low Normal,Allow Decimal,locale,synonym.1,answer,shortname,child.1,child.2,child.3,child.4,child.5,child.6,child.7,child.8,child.9,child.10,reference-term-source,reference-term-code,reference-term-relationship
,First diagnosis,Misc,Coded,,,,,,,"Grade,Right Lower limb,Left Lower limb,Bilateral Lower limb,Right Upper limb,Left Upper limb,Bilateral Upper limb,Genital oedema,Upper limb oedema",,,,,,,,,,,,,,
,First diagnosis: Year and place,Misc,Text,,,,,,,,,,,,,,,,,,,,,
,Presenting complaint of patient,Misc,Text,,,,,,,,,,,,,,,,,,,,,
,How oedema developed?,Misc,Text,,,,,,,,,,,,,,,,,,,,,
,Investigation used for confirmation,Misc,Text,,,,,,,,,,,,,,,,,,,,,
,Family history of lymphoedema pedigree chart,Misc,Text,,,,,,,,,,,,,,,,,,,,,
,First Episode of Filiarial Fever,Misc,Text,,,,,,,,,,,,,,,,,,,,,
,Last Episode of Filiarial Fever,Misc,Text,,,,,,,,,,,,,,,,,,,,,
,Frequence of fever and redness of limb,Misc,Text,,,,,,,,,,,,,,,,,,,,,
,Medicines used to control inflammatory episode,Misc,Text,,,,,,,,,,,,,,,,,,,,,
,Routine DEC consumption,Misc,Coded,,,,,,,"Banocide,Hetrazan,Eofil,Other",,,,,,,,,,,,,,
,Who Suggested,Misc,Text,,,,,,,,,,,,,,,,,,,,,
,What frequency,Misc,Text,,,,,,,,,,,,,,,,,,,,,
,Diuretics used to control oedema?,Misc,Coded,,,,,,,"Lasix,Dytide,Aldactone,Punarnavasana,Lymphedem,Daflon,Other",,,,,,,,,,,,,,
,Who suggested?,Misc,Text,,,,,,,,,,,,,,,,,,,,,
,Diuretics details?,Misc,Text,,,,,,,,,,,,,,,,,,,,,
,Baseline Past History,Misc,Block,,,,,,"First diagnosis,First diagnosis: Year and place,Presenting complaint of patient,How oedema developed?,Investigation used for confirmation,Family history of lymphoedema pedigree chart,First Episode of Filiarial Fever,Last Episode of Filiarial Fever,Frequence of fever and redness of limb,Medicines used to control inflammatory episode,Routine DEC consumption,Who Suggested,What frequency,Diuretics used to control oedema?,Who suggested?,Diuretics details?",,,,,,,,,,,,,,,
,Whether treated for Filariasis,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
,Alternative systems tried,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
,If so which one?,Misc,Text,,,,,,, ,,,,,,,,,,,,,,
,Practising yoga/physical exercise,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
,If so give details,Misc,Text,,,,,,,,,,,,,,,,,,,,,
,Special washing of the limb practiced everyday,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
,If so give details,Misc,Text,,,,,,,,,,,,,,,,,,,,,
,Practising compression dressing,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
,Practising compression type?,Misc,Coded,,,,,,,"Compression bandage,Compression bandage stocking,Compression bandage and stocking(both)",,,,,,,,,,,,,,
,Regularity of using compression bandages,Misc,Coded,,,,,,,"Regular,Irregular,Not at all",,,,,,,,,,,,,,
,When do you use compression bandages,Misc,Coded,,,,,,,"Day time,Night Time,Not at all",,,,,,,,,,,,,,
,Use stockings only / compression bandages,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
,Stockings only / compression bandages which one?,Misc,Coded,,,,,,,"Compression bandage,stocking,Compression bandage & stocking both",,,,,,,,,,,,,,
,Frequency of purchasing new compression material,Misc,Coded,,,,,,,"Weekly,Monthly,Not at all",,,,,,,,,,,,,,
,Location of last treatment and particulars,Misc,Text,,,,,,,,,,,,,,,,,,,,,
,Drugs and Dosage,Misc,Text,,,,,,, ,,,,,,,,,,,,,,
,Baseline Treatment History,Misc,Block,,,,,,"Whether treated for Filariasis,Alternative systems tried,If so which one?,Practising yoga/physical exercise,If so give details,Special washing of the limb practiced everyday,If so give details,Practising compression dressing,Practising compression type?,Regularity of using compression bandages,When do you use compression bandages,Use stockings only / compression bandages,Stockings only / compression bandages which one?,Frequency of purchasing new compression material,Location of last treatment and particulars,Drugs and Dosage",,,,,,,,,,,,,,,
,Year of treatment,Misc,Text,,,,,,,,,,,,,,,,,,,,,
,Name and address of institution,Misc,Text,,,,,,,,,,,,,,,,,,,,,
,Nature of treatment,Misc,Text,,,,,,,,,,,,,,,,,,,,,
,Success Rate,Misc,Coded,,,,,,,"Ineffective,Minimal,Moderate,High",,,,,,,,,,,,,,
,Drugs and Dosage,Misc,Text,,,,,,,,,,,,,,,,,,,,,
,Any other relevant information,Misc,Text,,,,,,,,,,,,,,,,,,,,,
,Past treatment details item,Misc,Block,,,,,,"Year of treatment,Name and address of institution,Nature of treatment,Success Rate,Drugs and Dosage,Any other relevant information",,,,,,,,,,,,,,,
,Baseline Treatment Details,Misc,Block,,,,,,Past treatment details item,,,,,,,,,,,,,,,
,For Filariasis,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
,For other complaints,Misc,Text,,,,,,,,,,,,,,,,,,,,,
,History of previous Surgery,Misc,Block,,,,,,"For Filariasis,For other complaints",,,,,,,,,,,,,,,
,Other complaint(s),Misc,Coded,,,,,,,"Diabetes,Hypertension,Cardiac Disease,Liver Disease,Renal Problem,Orthopaedic,Others",,,,,,,,,,,,,,
,Engorged Veins,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
,Lower Limbs affected,Misc,Coded,,,,,,,"Right-Limb,Left-Limb,Both limbs",,,,,,,,,,,,,,
,Upper Limbs affected,Misc,Coded,,,,,,,"Right-Limb,Left-Limb,Both limbs",,,,,,,,,,,,,,
,Size of Limb,Misc,Coded,,,,,,,"Small,Medium,Huge",,,,,,,,,,,,,,
,Any other relevant complaints,Misc,Block,,,,,,"Other complaint(s),Engorged Veins,Lower Limbs affected,Upper Limbs affected,Size of Limb",caries,,,,,,,,,,,,,,
,Ulcers?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
,Folliculitis,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
,Excoriations,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
,Eczema,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
,Paronychia,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
,Fissures/cracks in feet,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
,Intertrigo - Interdigital:,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
,Intertrigo - First:,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
,Intertrigo - Second:,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
,Intertrigo - Third:,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
,Intertrigo - Fourth:,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
,Intertrigo - Between folds:,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
,Keratoderma,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
,Thickening of skin,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
,Warty growth,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,
