Parent,name,class,datatype,units,High Normal,Low Normal,Allow Decimal,locale,Block,synonym.1,answer,shortname,child.1,child.2,child.3,child.4,child.5,child.6,child.7,child.8,child.9,child.10,reference-term-source.1,reference-term-code.1,reference-term-relationship.1,reference-term-source.2,reference-term-code.2,reference-term-relationship.2,reference-term-source.3,reference-term-code.3,reference-term-relationship.3,reference-term-source.4,reference-term-code.4,reference-term-relationship.4,reference-term-source.5,reference-term-code.5,reference-term-relationship.5,reference-term-source.6,reference-term-code.6,reference-term-relationship.6
,First diagnosis,Misc,Coded,,,,,,,,"Grade,Right Lower limb,Left Lower limb,Bilateral Lower limb,Right Upper limb,Left Upper limb,Bilateral Upper limb,Genital oedema,Upper limb oedema",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,First diagnosis: Year and place,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Presenting complaint of patient,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,How oedema developed?,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Investigation used for confirmation,Misc,Text,,,,,, ,Lab Investigation Notes,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,
,Family history of lymphoedema pedigree chart,Misc,Text,,,,,, ,FHx list,,,,,,,,,,,,,CIEL,160593,SAME-AS,SNOMED,57177007,SAME-AS,,,,,,,,,,,,
,First Episode of Filiarial Fever,Misc,Text,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Last Episode of Filiarial Fever,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Frequence of fever and redness of limb,Misc,Text,,,,,,,frequency of inflammatory episode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Medicines used to control inflammatory episode,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Routine DEC consumption,drug ,Coded,,,,,,,,"Banocide,Hetrazan,Eofil,Other",,,,,,,,,,,,CIEL,74821,SAME-AS,RxNORM,203175,NARROWER-THAN,CIEL,74821,NARROWER-THAN,SNOMED,100360006,SAME-AS,,,,,,
,Who Suggested,Misc,Text,,,,,,,"Delivery Note, Treatment Suggestion",,,,,,,,,,,,,,1980,,,,,,,,,,,,,,,,
,What frequency,question,Text,,,,,,,,,,,,,,,,,,,,CIEL,160855,SAME-AS,SNOMED,33633005,SAME-AS,,,,,,,,,,,,
,Diuretics used to control oedema?,Misc,Coded,,,,,,,,"Lasix,Dytide,Aldactone,Punarnavasana,Lymphedem,Daflon,Other",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Who suggested?,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Diuretics details?,question,Text,,,,,,,Diuresis,,,,,,,,,,,,,CIEL,141855,SAME-AS,SNOMED,162182005,SAME-AS,,,,,,,,,,,,
,Baseline Past History,Misc,Block,,,,,,"First diagnosis,First diagnosis: Year and place,Presenting complaint of patient,How oedema developed?,Investigation used for confirmation,Family history of lymphoedema pedigree chart,First Episode of Filiarial Fever,Last Episode of Filiarial Fever,Frequence of fever and redness of limb,Medicines used to control inflammatory episode,Routine DEC consumption,Who Suggested,What frequency,Diuretics used to control oedema?,Who suggested?,Diuretics details?",Past medical history,,,,,,,,,,,,,CIEL,1633,SAME-AS,SNOMED,417662000,SAME_AS,AMPATH,6245,NARROWER-THAN,,,,,,,,,
,Whether treated for Filariasis,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alternative systems tried,Diagnosis,Boolean,,,,,,,,,,,,,,,,,,,,CIEL,151316,SAME-AS,SNOMED,225423004,SAME-AS,,,,,,,,,,,,
,If so which one?,Misc,Text,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Practising yoga/physical exercise,Misc,Boolean,,,,,,,Exercise,,,,,,,,,,,,,CIEL,159363,SAME-AS,SNOMED,61686008,SAME-AS,CIEL,159364,NARROWER-THAN,SNOMED-NP,256235009,NARROWER-THAN,,,,,,
,If so give details,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Special washing of the limb practiced everyday,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,If so give details,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Practising compression dressing,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Practising compression type?,Misc,Coded,,,,,,,,"Compression bandage,Compression bandage stocking,Compression bandage and stocking(both)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Regularity of using compression bandages,Misc,Coded,,,,,,,,"Regular,Irregular,Not at all",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,When do you use compression bandages,Misc,Coded,,,,,,,,"Day time,Night Time,Not at all",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Use stockings only / compression bandages,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stockings only / compression bandages which one?,Misc,Coded,,,,,,,,"Compression bandage,stocking,Compression bandage & stocking both",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Frequency of purchasing new compression material,Misc,Coded,,,,,,,,"Weekly,Monthly,Not at all",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Location of last treatment and particulars,Misc,Text,,,,,,,"Tuberculosis, Past Treatment Facility",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Drugs and Dosage,question,Text,,,,,,,Dosage Frequency, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Baseline Treatment History,Misc,Block,,,,,,"Whether treated for Filariasis,Alternative systems tried,If so which one?,Practising yoga/physical exercise,If so give details,Special washing of the limb practiced everyday,If so give details,Practising compression dressing,Practising compression type?,Regularity of using compression bandages,When do you use compression bandages,Use stockings only / compression bandages,Stockings only / compression bandages which one?,Frequency of purchasing new compression material,Location of last treatment and particulars,Drugs and Dosage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Year of treatment,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Name and address of institution,Misc,Text,,,,,,,Past treatment Facility,,,,,,,,,,,,,,1116,,,,,,,,,,,,,,,,
,Nature of treatment,Misc,Text,,,,,,,Past treatment details item,,,,,,,,,,,,,,1118,,,,,,,,,,,,,,,,
,Success Rate,Misc,Coded,,,,,,,Treatment outcome,"Ineffective,Minimal,Moderate,High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Drugs and Dosage,question,Text,,,,,,,Dosage Frequency,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
,Any other relevant information,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
