uuid,name,description,class,shortname,datatype,units,High Normal,Low Normal,Allow Decimal,locale,synonym.1,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8,answer.9,answer.10,answer.11,answer.12,reference-term-source,reference-term-code,reference-term-relationship
05de3cbe-a4bc-11e6-b994-083e8ecc6d28,First diagnosis: Year and place,,Misc,,Text,,,,,,,,,,,,,,,,,,,,,
05fceed2-a4bc-11e6-a0e0-083e8ecc6d28,Investigation used for confirmation,,Misc,,Text,,,,,,,,,,,,,,,,,,,,,
05fceed3-a4bc-11e6-9c52-083e8ecc6d28,"First Episode of ""Filiarial Fever""",,Misc,,Text,,,,,,,,,,,,,,,,,,,,,
05fceed4-a4bc-11e6-b7f7-083e8ecc6d28,"Last Episode of ""Filiarial Fever""",,Misc,,Text,,,,,,,,,,,,,,,,,,,,,
05fd1500-a4bc-11e6-9a8c-083e8ecc6d28,Frequence of fever and redness of limb,,Misc,,Text,,,,,,,,,,,,,,,,,,,,,
05fd1501-a4bc-11e6-b95f-083e8ecc6d28,Medicines used to control inflammatory episode,,Misc,,Text,,,,,,,,,,,,,,,,,,,,,
05fd1502-a4bc-11e6-abfc-083e8ecc6d28,Banocide,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,
05fd1503-a4bc-11e6-b012-083e8ecc6d28,Hetrazan,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,
05fd1504-a4bc-11e6-8324-083e8ecc6d28,Eofil,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,
05fd3b30-a4bc-11e6-899e-083e8ecc6d28,Other,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,
05fd3b31-a4bc-11e6-95b6-083e8ecc6d28,Routine DEC consumption,,Misc,,Coded,,,,,,,Banocide,Hetrazan,Eofil,Other,,,,,,,,,,,
05fd3b32-a4bc-11e6-98a0-083e8ecc6d28,Who Suggested,,Misc,,Text,,,,,,,,,,,,,,,,,,,,,
05fd3b33-a4bc-11e6-ac0a-083e8ecc6d28,What frequency,,Misc,,Text,,,,,,,,,,,,,,,,,,,,,
05fd3b34-a4bc-11e6-a665-083e8ecc6d28,Lasix,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,
05fd6154-a4bc-11e6-93e5-083e8ecc6d28,Dytide,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,
05fd6155-a4bc-11e6-8171-083e8ecc6d28,Aldactone,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,
05fd6156-a4bc-11e6-a34f-083e8ecc6d28,Punarnavasana,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,
05fd6157-a4bc-11e6-b9cc-083e8ecc6d28,Lymphedem,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,
05fd8778-a4bc-11e6-8a89-083e8ecc6d28,Deaflon,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,
05fd8779-a4bc-11e6-a7c9-083e8ecc6d28,Diuretics used to control oedema?,,Misc,,Coded,,,,,,,Lasix,Dytide,Aldactone,Punarnavasana,Lymphedem,Deaflon,Other,,,,,,,,
05fd877a-a4bc-11e6-a232-083e8ecc6d28,Whether treated for Filariasis,,Misc,,Boolean,,,,,,,,,,,,,,,,,,,,,
05fdada8-a4bc-11e6-859e-083e8ecc6d28,Alternative systems tried,,Misc,,Boolean,,,,,,,,,,,,,,,,,,,,,
05fdada9-a4bc-11e6-a126-083e8ecc6d28,If so which one?,,Misc,,Text,,,,,,,,,,,,,,,,,,,,,
05fdadaa-a4bc-11e6-b49a-083e8ecc6d28,Practising yoga/physical exercise,,Misc,,Boolean,,,,,,,,,,,,,,,,,,,,,
05fdadab-a4bc-11e6-b8da-083e8ecc6d28,If so give details,,Misc,,Text,,,,,,,,,,,,,,,,,,,,,
05fdadac-a4bc-11e6-a54e-083e8ecc6d28,Special washing of the limb practiced everyday,,Misc,,Boolean,,,,,,,,,,,,,,,,,,,,,
05fdd3e4-a4bc-11e6-be99-083e8ecc6d28,Practising compression dressing,,Misc,,Boolean,,,,,,,,,,,,,,,,,,,,,
05fdd3e5-a4bc-11e6-b666-083e8ecc6d28,Irregular,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,
