Parent,name,datatype,units,High Normal,Low Normal,Allow Decimal,locale,synonym.1,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8,answer.9,answer.10,answer.11,answer.12,class,shortname,child.1,child.2,child.3,child.4,child.5,child.6,child.7,reference-term-source,reference-term-code,reference-term-relationship
Baseline Past History,First diagnosis: Year and place,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baseline Past History,Investigation used for confirmation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baseline Past History,"First Episode of ""Filiarial Fever""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baseline Past History,"Last Episode of ""Filiarial Fever""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baseline Past History,Frequence of fever and redness of limb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baseline Past History,Medicines used to control inflammatory episode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baseline Past History,Routine DEC consumption,Coded,,,,,,,Banocide,Hetrazan,Eofil,Other,,,,,,,,,,,,,,,,,,,,
Baseline Past History,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baseline Past History,Who Suggested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baseline Past History,What frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baseline Past History,Diuretics used to control oedema?,Coded,,,,,,,Lasix,Dytide,Aldactone,Punarnavasana,Lymphedem,Deaflon,Other,,,,,,,,,,,,,,,,,
Baseline Past History,Who Suggested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baseline Past History,What frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Baseline Past History,Block,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,
Baseline Treatment History,Whether treated for Filariasis,Coded,,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,
Baseline Treatment History,Alternative systems tried,Coded,,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,
Baseline Treatment History,If so which one?,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,
Baseline Treatment History,Practising yoga/physical exercise,Coded,,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,
Baseline Treatment History,If so give details,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,
Baseline Treatment History,Special washing of the limb practiced everyday,Coded,,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,
Baseline Treatment History,If so give details,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,
Baseline Treatment History,Practising compression dressing,Coded,,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,
Baseline Treatment History,If so give details,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,
Baseline Treatment History,Regularity of using compression bandages,Coded,,,,,,,Regular,Irregular,Not at all,,,,,,,,,,,,,,,,,,,,,
Baseline Treatment History,When do you use compression bandages,Coded,,,,,,,Day time,Night Time,Not at all,,,,,,,,,,,,,,,,,,,,,
Baseline Treatment History,Use stockings only / compression bandages,Coded,,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,
Baseline Treatment History,Frequency of purchasing new compression material,Coded,,,,,,,Weekly,Monthly,Not at all,,,,,,,,,,,,,,,,,,,,,
Baseline Treatment History,Location of last treatment and particulars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baseline Treatment History,Drugs and Dosage,,,,,,,, , , ,,,,,,,,,,,,,,,,,,,,,
,Baseline Treatment History,Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baseline Treatment Details,Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baseline Treatment Details,Name and address of institution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baseline Treatment Details,Nature of treatment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baseline Treatment Details,Success Rate,Coded,,,,,,,Ineffective,Minimal,Moderate,High,,,,,,,,,,,,,,,,,,,,
Baseline Treatment Details,Drugs and Dosage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baseline Treatment Details,Any other relevant information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Baseline Treatment Details,Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
History of past Surgery,For Filariasis,Coded,,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,
History of past Surgery,For other complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
History of past Surgery,Any other relevant complaints,Coded,,,,,,,Diabetes,Hypertension,Cardiac Disease,Liver Disease,Renal Problem,Orthopaedic,,,,,,,,,,,,,,,,,,
History of past Surgery,"Others, explain",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
History of past Surgery,Engorged Veins,Coded,,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,
History of past Surgery,Lower Limbs affected,Coded,,,,,,,Right,Left,Both,,,,,,,,,,,,,,,,,,,,,
History of past Surgery,Size of Limb,Coded,,,,,,,Small,Medium,Huge,,,,,,,,,,,,,,,,,,,,,
,History of past Surgery,Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Details of Entry points,Ulcers,Coded,,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,
Details of Entry points,Intertrigo,Coded,,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,
Details of Entry points,Folliculitis,Coded,,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,
Details of Entry points,Excoriation,Coded,,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,
Details of Entry points,Eczema,Coded,,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,
Details of Entry points,Paronychia,Coded,,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,
Details of Entry points,Fissures,Coded,,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,
Details of Entry points,Lymph,Coded,,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,
Details of Entry points,Caries teeth,Coded,,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,
Details of Entry points,Foul smell,Coded,,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,
Details of Entry points,History of maggots,Coded,,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,
Details of Entry points,Maggots stil present,Coded,,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,
Details of Entry points,Others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Details of Entry points,Fibrous Nodules,Coded,,,,,,,Absent ,Few,Multiple,Plenty,,,,,,,,,,,,,,,,,,,,
Details of Entry points,Did patient notice entry points ?,Coded,,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,
Details of Entry points,When he/she got the fever?,Coded,,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,
Details of Entry points,Current treatment for other complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Details of Entry points,Assessment of socioeconomic status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Details of Entry points,What are the emotional supports needed?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Details of Entry points,Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
