uuid,name,description,class,shortname,datatype,units,High Normal,Low Normal,Allow Decimal,locale,synonym.1,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8,answer.9,answer.10,answer.11,answer.12,reference-term-source,reference-term-code,reference-term-relationship
983fb034-a1ad-11e6-8e76-083e8ecc6d28,What are major queries of the patient?,,Misc,,Text,,,,,,,,,,,,,,,,,,,,,
984ebee4-a1ad-11e6-a08f-083e8ecc6d28,Does the patient require any special services?,,Misc,,Text,,,,,,,,,,,,,,,,,,,,,
984ee5b4-a1ad-11e6-a214-083e8ecc6d28,Any deviations from the regular service?,,Misc,,Text,,,,,,,,,,,,,,,,,,,,,
984ee5b5-a1ad-11e6-bbd2-083e8ecc6d28,Did patient understand the duration of treatment,,Misc,,Boolean,,,,,,,,,,,,,,,,,,,,,
984f0be2-a1ad-11e6-96e7-083e8ecc6d28,Whether the patient is educated regarding the entry points,,Misc,,Boolean,,,,,,,,,,,,,,,,,,,,,
984f0be3-a1ad-11e6-b338-083e8ecc6d28,Ask the patient to list the entry points,,Misc,,Text,,,,,,,,,,,,,,,,,,,,,
984f0be4-a1ad-11e6-977f-083e8ecc6d28,Care and treat entry points?,,Misc,,Boolean,,,,,,,,,,,,,,,,,,,,,
984f31e8-a1ad-11e6-8585-083e8ecc6d28,Perform Yoga life long?,,Misc,,Boolean,,,,,,,,,,,,,,,,,,,,,
984f31e9-a1ad-11e6-954a-083e8ecc6d28,Perform IMLD life long?,,Misc,,Boolean,,,,,,,,,,,,,,,,,,,,,
984f31ea-a1ad-11e6-9e8c-083e8ecc6d28,Use compression life long?,,Misc,,Boolean,,,,,,,,,,,,,,,,,,,,,
984f31eb-a1ad-11e6-a637-083e8ecc6d28,Follow diet restrictions for first six months?,,Misc,,Boolean,,,,,,,,,,,,,,,,,,,,,
984f57fe-a1ad-11e6-9363-083e8ecc6d28,During the training period,,Misc,,Boolean,,,,,,,,,,,,,,,,,,,,,
984f57ff-a1ad-11e6-a253-083e8ecc6d28,For six months after the initial training,,Misc,,Boolean,,,,,,,,,,,,,,,,,,,,,
984f5800-a1ad-11e6-b9c8-083e8ecc6d28,Monthly thereafter,,Misc,,Boolean,,,,,,,,,,,,,,,,,,,,,
984f7e28-a1ad-11e6-b16b-083e8ecc6d28,For follow up charges,,Misc,,Boolean,,,,,,,,,,,,,,,,,,,,,
984f7e29-a1ad-11e6-bc19-083e8ecc6d28,"Notes after discussion with doctor, patient and patient's family members",,Misc,,Text,,,,,,,,,,,,,,,,,,,,,
984f7e2a-a1ad-11e6-8139-083e8ecc6d28,"Details of information given, sought discussed",,Misc,,Text,,,,,,,,,,,,,,,,,,,,,
