uuid,name,description,class,shortname,datatype,units,High Normal,Low Normal,Allow Decimal,locale,synonym.1,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8,answer.9,answer.10,answer.11,answer.12,reference-term-source,reference-term-code,reference-term-relationship
1790455a-9cfc-11e6-82a7-083e8ecc6d28,First diagnosis: Year and place,,Misc,,,,,,,,,,,,,,,,,,,,,,,
17910436-9cfc-11e6-b92d-083e8ecc6d28,Investigation used for confirmation,,Misc,,,,,,,,,,,,,,,,,,,,,,,
17912a66-9cfc-11e6-8c58-083e8ecc6d28,"First Episode of ""Filiarial Fever""",,Misc,,,,,,,,,,,,,,,,,,,,,,,
17912a67-9cfc-11e6-81d3-083e8ecc6d28,"Last Episode of ""Filiarial Fever""",,Misc,,,,,,,,,,,,,,,,,,,,,,,
17912a68-9cfc-11e6-9929-083e8ecc6d28,Frequence of fever and redness of limb,,Misc,,,,,,,,,,,,,,,,,,,,,,,
17912a69-9cfc-11e6-b798-083e8ecc6d28,Medicines used to control inflammatory episode,,Misc,,,,,,,,,,,,,,,,,,,,,,,
17912a6a-9cfc-11e6-a5d8-083e8ecc6d28,Banocide,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,
17912a6b-9cfc-11e6-95f3-083e8ecc6d28,Hetrazan,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,
17912a6c-9cfc-11e6-9267-083e8ecc6d28,Eofil,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,
17915092-9cfc-11e6-89f8-083e8ecc6d28,Other,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,
17915093-9cfc-11e6-8516-083e8ecc6d28,Routine DEC consumption,,Misc,,Coded,,,,,,,Banocide,Hetrazan,Eofil,Other,,,,,,,,,,,
17915094-9cfc-11e6-9b1a-083e8ecc6d28,Who Suggested,,Misc,,,,,,,,,,,,,,,,,,,,,,,
17915095-9cfc-11e6-8ea4-083e8ecc6d28,What frequency,,Misc,,,,,,,,,,,,,,,,,,,,,,,
17915096-9cfc-11e6-824a-083e8ecc6d28,Lasix,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,
17915097-9cfc-11e6-b2c4-083e8ecc6d28,Dytide,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,
17915098-9cfc-11e6-a3e6-083e8ecc6d28,Aldactone,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,
17915099-9cfc-11e6-8339-083e8ecc6d28,Punarnavasana,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,
179176c0-9cfc-11e6-9c16-083e8ecc6d28,Lymphedem,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,
179176c1-9cfc-11e6-93f8-083e8ecc6d28,Deaflon,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,
179176c2-9cfc-11e6-ad45-083e8ecc6d28,Diuretics used to control oedema?,,Misc,,Coded,,,,,,,Lasix,Dytide,Aldactone,Punarnavasana,Lymphedem,Deaflon,Other,,,,,,,,
179176c3-9cfc-11e6-82bf-083e8ecc6d28,Whether treated for Filariasis,,Misc,,Coded,,,,,,,Yes,No,,,,,,,,,,,,,
179176c4-9cfc-11e6-991d-083e8ecc6d28,Alternative systems tried,,Misc,,Coded,,,,,,,Yes,No,,,,,,,,,,,,,
179176c5-9cfc-11e6-8e1e-083e8ecc6d28,If so which one?,,Misc,,,,,,,,,,,,,,,,,,,,,,,
17919cf6-9cfc-11e6-84df-083e8ecc6d28,Practising yoga/physical exercise,,Misc,,Coded,,,,,,,Yes,No,,,,,,,,,,,,,
17919cf7-9cfc-11e6-912d-083e8ecc6d28,If so give details,,Misc,,,,,,,,,,,,,,,,,,,,,,,
17919cf8-9cfc-11e6-9fce-083e8ecc6d28,Special washing of the limb practiced everyday,,Misc,,Coded,,,,,,,Yes,No,,,,,,,,,,,,,
17919cf9-9cfc-11e6-b23e-083e8ecc6d28,Practising compression dressing,,Misc,,Coded,,,,,,,Yes,No,,,,,,,,,,,,,
1791c322-9cfc-11e6-923a-083e8ecc6d28,Irregular,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,
1791c323-9cfc-11e6-adf7-083e8ecc6d28,Regularity of using compression bandages,,Misc,,Coded,,,,,,,Regular,Irregular,Not at all,,,,,,,,,,,,
1791c324-9cfc-11e6-9a9a-083e8ecc6d28,Day time,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,
1791c325-9cfc-11e6-8df5-083e8ecc6d28,Night Time,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,
1791c326-9cfc-11e6-a263-083e8ecc6d28,When do you use compression bandages,,Misc,,Coded,,,,,,,Day time,Night Time,Not at all,,,,,,,,,,,,
1791c327-9cfc-11e6-896b-083e8ecc6d28,Use stockings only / compression bandages,,Misc,,Coded,,,,,,,Yes,No,,,,,,,,,,,,,
1791c328-9cfc-11e6-bd3a-083e8ecc6d28,Weekly,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,
1791c329-9cfc-11e6-abb2-083e8ecc6d28,Monthly,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,
1791e958-9cfc-11e6-8c7e-083e8ecc6d28,Frequency of purchasing new compression material,,Misc,,Coded,,,,,,,Weekly,Monthly,Not at all,,,,,,,,,,,,
1791e959-9cfc-11e6-82dd-083e8ecc6d28,Location of last treatment and particulars,,Misc,,,,,,,,,,,,,,,,,,,,,,,
1791e95a-9cfc-11e6-bbe8-083e8ecc6d28,Drugs and Dosage,,Misc,,,,,,,,,,,,,,,,,,,,,,,
1791e95b-9cfc-11e6-ac2b-083e8ecc6d28,Year,,Misc,,,,,,,,,,,,,,,,,,,,,,,
1791e95c-9cfc-11e6-ac5e-083e8ecc6d28,Name and address of institution,,Misc,,,,,,,,,,,,,,,,,,,,,,,
1791e95d-9cfc-11e6-838d-083e8ecc6d28,Nature of treatment,,Misc,,,,,,,,,,,,,,,,,,,,,,,
1791e95e-9cfc-11e6-bbb8-083e8ecc6d28,Ineffective,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,
1791e95f-9cfc-11e6-8401-083e8ecc6d28,Minimal,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,
17920f80-9cfc-11e6-b084-083e8ecc6d28,Success Rate,,Misc,,Coded,,,,,,,Ineffective,Minimal,Moderate,High,,,,,,,,,,,
17920f81-9cfc-11e6-b6f0-083e8ecc6d28,Any other relevant information,,Misc,,,,,,,,,,,,,,,,,,,,,,,
17920f82-9cfc-11e6-b361-083e8ecc6d28,For Filariasis,,Misc,,Coded,,,,,,,Yes,No,,,,,,,,,,,,,
17920f83-9cfc-11e6-aa60-083e8ecc6d28,For other complaints,,Misc,,,,,,,,,,,,,,,,,,,,,,,
17920f84-9cfc-11e6-bdff-083e8ecc6d28,Cardiac Disease,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,
17920f85-9cfc-11e6-ae37-083e8ecc6d28,Renal Problem,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,
179235b4-9cfc-11e6-8ea7-083e8ecc6d28,Orthopaedic,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,
179235b5-9cfc-11e6-9bf1-083e8ecc6d28,Any other relevant complaints,,Misc,,Coded,,,,,,,Diabetes,Hypertension,Cardiac Disease,Liver Disease,Renal Problem,Orthopaedic,,,,,,,,,
179235b6-9cfc-11e6-8438-083e8ecc6d28,"Others, explain",,Misc,,,,,,,,,,,,,,,,,,,,,,,
179235b7-9cfc-11e6-a827-083e8ecc6d28,Engorged Veins,,Misc,,Coded,,,,,,,Yes,No,,,,,,,,,,,,,
179235b8-9cfc-11e6-a0e3-083e8ecc6d28,Right,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,
179235b9-9cfc-11e6-a8bb-083e8ecc6d28,Left,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,
179235ba-9cfc-11e6-b925-083e8ecc6d28,Both,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,
179235bb-9cfc-11e6-bf36-083e8ecc6d28,Lower Limbs affected,,Misc,,Coded,,,,,,,Right,Left,Both,,,,,,,,,,,,
179235bc-9cfc-11e6-b3b1-083e8ecc6d28,Small,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,
17925bdc-9cfc-11e6-a8c2-083e8ecc6d28,Huge,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,
17925bdd-9cfc-11e6-ad6e-083e8ecc6d28,Size of Limb,,Misc,,Coded,,,,,,,Small,Medium,Huge,,,,,,,,,,,,
17925bde-9cfc-11e6-8c62-083e8ecc6d28,Ulcers,,Misc,,Coded,,,,,,,Yes,No,,,,,,,,,,,,,
