Parent,name,class,datatype,units,High Normal,Low Normal,Allow Decimal,locale,synonym.1,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8,answer.9,answer.10,answer.11,answer.12,shortname,child.1,child.2,child.3,child.4,child.5,child.6,child.7,reference-term-source,reference-term-code,reference-term-relationship
,Total Count,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Differential Count,N:________ %,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Differential Count,L:________ %,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Differential Count,E:________ %,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Differential Count,B:________ %,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Differential Count,M:________ %,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESR at 1st hour,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hb%(gm%),Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Plasma glucose level (PGL),Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Serum creatinine,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liver function tests,ALT,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liver function tests,SGPT,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liver function tests,SGOT,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liver function tests,Serum Bilirubin,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Filariasis card test(ICT),Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Urine Analysis,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ECG,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pus for C/S,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Doppler study,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ultrasonography of skin,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other specific investigation,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
