Parent,name,class,datatype,units,High Normal,Low Normal,Allow Decimal,locale,synonym.1,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8,answer.9,answer.10,answer.11,answer.12,shortname,child.1,child.2,child.3,child.4,child.5,child.6,child.7,reference-term-source,reference-term-code,reference-term-relationship
Family History,Pedigree chart,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medical History,Mode of treatment,Misc,Coded,,,,,,,Modern medicine,Homoeopathy,Folklore medicine,Ayurveda,Unani,Any other(specify),,,,,,,,,,,,,,,,,
Medical History,Medication name,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medical History,Duration,Concept Details,,,,,,,,,,,,,,,,,,,,,Medication name,Non-Coded Chief Complaint,Chief Complaint Duration,,,,,,,
Medical History,Outcome,Misc,Coded,,,,,,,Improved,Aggravated,No change,Cured,Caused cellulitis,,,,,,,,,,,,,,,,,,
Physical Examination at baseline,General Examination,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Physical Examination at baseline,Systemic Examination,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Photo documentation,View,Misc,Coded,,,,,,,Anterior view,Right lateral view,Posterior view,Left lateral view,Video recording of special procedure,Video recording of gait,,,,,,,,,,,,,,,,,
Photo documentation,Image,Image,Complex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Photo documentation,Others/Discussed,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
