Parent,name,class,datatype,units,High Normal,Low Normal,Allow Decimal,locale,synonym.1,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8,answer.9,answer.10,answer.11,answer.12,shortname,child.1,child.2,child.3,child.4,child.5,child.6,child.7,reference-term-source,reference-term-code,reference-term-relationship
,Describe,Misc,Coded,,,,,,,Right,Left,Both,N/A,,,,,,,,,,,,,,,,,,,
Recent inflammatory episode,Frequency/Duration,Concept Details,,,,,,,,,,,,,,,,,,,,,Describe,Non-Coded Chief Complaint,Chief Complaint Duration,,,,,,,
Using injection/Consuming antibiotics for prevention of fever attacks,Frequency/Duration,Concept Details,,,,,,,,,,,,,,,,,,,,,Describe,Non-Coded Chief Complaint,Chief Complaint Duration,,,,,,,
Genital organs affected,Frequency/Duration,Concept Details,,,,,,,,,,,,,,,,,,,,,Describe,Non-Coded Chief Complaint,Chief Complaint Duration,,,,,,,
Surgery for hydrocele,Frequency/Duration,Concept Details,,,,,,,,,,,,,,,,,,,,,Describe,Non-Coded Chief Complaint,Chief Complaint Duration,,,,,,,
Sudden increase in limb size,Frequency/Duration,Concept Details,,,,,,,,,,,,,,,,,,,,,Describe,Non-Coded Chief Complaint,Chief Complaint Duration,,,,,,,
"Discharge from the limb, ulcer, exczema",Frequency/Duration,Concept Details,,,,,,,,,,,,,,,,,,,,,Describe,Non-Coded Chief Complaint,Chief Complaint Duration,,,,,,,
Local lymphadenopathy,Frequency/Duration,Concept Details,,,,,,,,,,,,,,,,,,,,,Describe,Non-Coded Chief Complaint,Chief Complaint Duration,,,,,,,
Presence of odor,Frequency/Duration,Concept Details,,,,,,,,,,,,,,,,,,,,,Describe,Non-Coded Chief Complaint,Chief Complaint Duration,,,,,,,
Presence of fibrous nodules,Frequency/Duration,Concept Details,,,,,,,,,,,,,,,,,,,,,Describe,Non-Coded Chief Complaint,Chief Complaint Duration,,,,,,,
,How the odema was developed,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Clinical assessment of aetiology,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Family History,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
