uuid,name,description,class,shortname,datatype,units,High Normal,Low Normal,Allow Decimal,locale,synonym.1,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8,answer.9,answer.10,answer.11,answer.12,reference-term-source,reference-term-code,reference-term-relationship
d523f908-abc8-11e6-9e4c-083e8ecc6d28,Total Count,,Misc,,Text,,,,,,,,,,,,,,,,,,,,,
d524de26-abc8-11e6-bd8c-083e8ecc6d28,N:________ %,,Misc,,Numeric,,,,,,,,,,,,,,,,,,,,,
d524de27-abc8-11e6-9941-083e8ecc6d28,L:________ %,,Misc,,Numeric,,,,,,,,,,,,,,,,,,,,,
d524de28-abc8-11e6-b8e4-083e8ecc6d28,E:________ %,,Misc,,Numeric,,,,,,,,,,,,,,,,,,,,,
d524de29-abc8-11e6-be39-083e8ecc6d28,B:________ %,,Misc,,Numeric,,,,,,,,,,,,,,,,,,,,,
d524de2a-abc8-11e6-8ff7-083e8ecc6d28,M:________ %,,Misc,,Numeric,,,,,,,,,,,,,,,,,,,,,
d524de2b-abc8-11e6-969a-083e8ecc6d28,ESR at 1st hour,,Misc,,Numeric,,,,,,,,,,,,,,,,,,,,,
d524de2c-abc8-11e6-b34f-083e8ecc6d28,Hb%(gm%),,Misc,,Numeric,,,,,,,,,,,,,,,,,,,,,
d5250452-abc8-11e6-bc94-083e8ecc6d28,Plasma glucose level (PGL),,Misc,,Numeric,,,,,,,,,,,,,,,,,,,,,
d5250453-abc8-11e6-9b97-083e8ecc6d28,Serum creatinine,,Misc,,Numeric,,,,,,,,,,,,,,,,,,,,,
d5250454-abc8-11e6-a8e8-083e8ecc6d28,ALT,,Misc,,Numeric,,,,,,,,,,,,,,,,,,,,,
d5250455-abc8-11e6-96bc-083e8ecc6d28,SGPT,,Misc,,Numeric,,,,,,,,,,,,,,,,,,,,,
d5250456-abc8-11e6-8f98-083e8ecc6d28,SGOT,,Misc,,Numeric,,,,,,,,,,,,,,,,,,,,,
d5250457-abc8-11e6-b833-083e8ecc6d28,Serum Bilirubin,,Misc,,Numeric,,,,,,,,,,,,,,,,,,,,,
d5250458-abc8-11e6-97f7-083e8ecc6d28,Filariasis card test(ICT),,Misc,,Text,,,,,,,,,,,,,,,,,,,,,
d5252a80-abc8-11e6-8064-083e8ecc6d28,Urine Analysis,,Misc,,Text,,,,,,,,,,,,,,,,,,,,,
d5252a81-abc8-11e6-b60d-083e8ecc6d28,ECG,,Misc,,Text,,,,,,,,,,,,,,,,,,,,,
d5252a82-abc8-11e6-b47e-083e8ecc6d28,Pus for C/S,,Misc,,Text,,,,,,,,,,,,,,,,,,,,,
d5252a83-abc8-11e6-9579-083e8ecc6d28,Doppler study,,Misc,,Text,,,,,,,,,,,,,,,,,,,,,
d5252a84-abc8-11e6-912c-083e8ecc6d28,Ultrasonography of skin,,Misc,,Text,,,,,,,,,,,,,,,,,,,,,
d5252a85-abc8-11e6-94cd-083e8ecc6d28,Other specific investigation,,Misc,,Text,,,,,,,,,,,,,,,,,,,,,
