Parent,name,class,datatype,units,High Normal,Low Normal,Allow Decimal,locale,synonym.1,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8,answer.9,answer.10,answer.11,answer.12,shortname,child.1,child.2,child.3,child.4,child.5,child.6,child.7,reference-term-source,reference-term-code,reference-term-relationship
Limb Length from ASIS to ground,Distance from ASIS ,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Limb Length from ASIS to ground,Right,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Limb Length from ASIS to ground,Left,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foot Length from medial side,Distance from ASIS ,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foot Length from medial side,Right,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foot Length from medial side,Left,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maximum calf bulk,Distance from ASIS ,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maximum calf bulk,Right,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maximum calf bulk,Left,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid thigh,Distance from ASIS ,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid thigh,Right,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid thigh,Left,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patellar region,Distance from ASIS ,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patellar region,Right,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patellar region,Left,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maximal bulk,Distance from ASIS ,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maximal bulk,Right,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maximal bulk,Left,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End of calf muscle bulk,Distance from ASIS ,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End of calf muscle bulk,Right,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End of calf muscle bulk,Left,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ankle,Distance from ASIS ,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ankle,Right,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ankle,Left,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid foot,Distance from ASIS ,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid foot,Right,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid foot,Left,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metatarsal ,Distance from ASIS ,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metatarsal ,Right,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metatarsal ,Left,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Measured by,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Measurements from anterior superior iliac Spine (ASIS) (in cms),Misc,Block,,,,,,"Limb Length from ASIS to ground,Foot Length from medial side,Maximum calf bulk,Mid thigh,Patellar region,Maximal bulk,End of calf muscle bulk,Ankle,Mid foot,Metatarsal",,,,,,,,,,,,,,,,,,,,,,,
,Limb Circumferential measurements template,Misc,Block,,,,,,"Measurements from anterior superior iliac Spine (ASIS) (in cms),Measured by",,,,,,,,,,,,,,,,,,,,,,,
