Parent,name,class,datatype,units,High Normal,Low Normal,Allow Decimal,locale,synonym.1,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8,answer.9,answer.10,answer.11,answer.12,shortname,child.1,child.2,child.3,child.4,child.5,child.6,child.7,reference-term-source,reference-term-code,reference-term-relationship
Limb volume (Displaced water method),Right Leg,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Limb volume (Displaced water method),Left Leg,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Waist circumference,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Abdominal girth,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Height,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Body Weight(Kg),Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Body weight time of measurement,Misc,Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Body Mass index,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Measured by,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Reason if volume measurement not done,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Volume, body weight",Misc,Block,,,,,,"Limb volume (Displaced water method),Waist circumference,Abdominal girth,Height,Body Weight(Kg),Body weight time of measurement,Body Mass index,Measured by,Reason if volume measurement not done",,,,,,,,,,,,,,,,,,,,,,,
