uuid,name,description,class,shortname,datatype,units,High Normal,Low Normal,Allow Decimal,locale,synonym.1,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8,answer.9,answer.10,answer.11,answer.12,reference-term-source,reference-term-code,reference-term-relationship
0b04dd08-a5c9-11e6-98cc-083e8ecc6d28,No problem,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,
0b13ed64-a5c9-11e6-b1c2-083e8ecc6d28,Mild,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,
0b13ed65-a5c9-11e6-96d5-083e8ecc6d28,Most Severe,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,
0b140108-a5c9-11e6-be1b-083e8ecc6d28,NA,,Misc,,N/A,,,,,,,,,,,,,,,,,,,,,
0b140109-a5c9-11e6-8f95-083e8ecc6d28,Sitting or Getting out of a chair,,Misc,,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,
0b141490-a5c9-11e6-8ac8-083e8ecc6d28,Sitting or Getting up from floor,,Misc,,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,
0b14281c-a5c9-11e6-b538-083e8ecc6d28,Lying down on cot,,Misc,,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,
0b14281d-a5c9-11e6-8963-083e8ecc6d28,Climbing stairs,,Misc,,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,
0b143ba6-a5c9-11e6-8728-083e8ecc6d28,Wearing footwear,,Misc,,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,
0b144f30-a5c9-11e6-a32e-083e8ecc6d28,Walking long distances,,Misc,,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,
0b1462be-a5c9-11e6-8d9c-083e8ecc6d28,Travel by public transportation,,Misc,,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,
0b14764a-a5c9-11e6-b696-083e8ecc6d28,Dressing myself,,Misc,,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,
0b1489d2-a5c9-11e6-a3b4-083e8ecc6d28,Bathing,,Misc,,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,
0b149d5c-a5c9-11e6-adee-083e8ecc6d28,Washing clothes by myself,,Misc,,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,
0b14b0ec-a5c9-11e6-bd0e-083e8ecc6d28,Difficulty in using Indian toilet,,Misc,,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,
0b14b0ed-a5c9-11e6-b276-083e8ecc6d28,Difficulty in using Western toilet,,Misc,,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,
0b14c476-a5c9-11e6-8e46-083e8ecc6d28,Problems in cooking,,Misc,,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,
0b14d800-a5c9-11e6-b798-083e8ecc6d28,Difficulty in cleaning floors,,Misc,,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,
0b14eb8a-a5c9-11e6-94a6-083e8ecc6d28,Difficulty in gardening,,Misc,,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,
0b14ff1a-a5c9-11e6-8b2d-083e8ecc6d28,Difficulty in agrarian work,,Misc,,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,
0b1512a4-a5c9-11e6-9d99-083e8ecc6d28,Difficulty in continuing normal leisure activities,,Misc,,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,
0b15262c-a5c9-11e6-9733-083e8ecc6d28,Difficulty in continuing the job,,Misc,,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,
0b1539b8-a5c9-11e6-a009-083e8ecc6d28,Difficulty in continuing the education,,Misc,,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,
0b154d40-a5c9-11e6-a3f8-083e8ecc6d28,"History of painful redness, swelling and cellulitie of leg(filarial fever)",,Misc,,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,
0b1560cc-a5c9-11e6-b12e-083e8ecc6d28,Foul smell (Odour),,Misc,,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,
0b1560cd-a5c9-11e6-9d4d-083e8ecc6d28,Itching (Eczema/Discharge from limb),,Misc,,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,
0b15745a-a5c9-11e6-8a1f-083e8ecc6d28,Wound (Non-healing ulcer),,Misc,,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,
0b1587e6-a5c9-11e6-aad2-083e8ecc6d28,Weight / size of limb,,Misc,,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,
0b159b74-a5c9-11e6-8031-083e8ecc6d28,Frequency of purchasing new compression material,,Misc,,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,
0b15aefa-a5c9-11e6-bee0-083e8ecc6d28,Pain increases at night,,Misc,,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,
0b15c288-a5c9-11e6-b1f4-083e8ecc6d28,Pain increases during the day,,Misc,,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,
0b15d612-a5c9-11e6-b244-083e8ecc6d28,Pain increases while walking,,Misc,,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,
