Parent,name,datatype,units,High Normal,Low Normal,Allow Decimal,locale,synonym.1,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8,answer.9,answer.10,answer.11,answer.12,class,shortname,child.1,child.2,child.3,child.4,child.5,child.6,child.7,reference-term-source,reference-term-code,reference-term-relationship
Mobility,Sitting or Getting out of a chair,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,
Mobility,Sitting or Getting up from floor,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,
Mobility,Lying down on cot,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,
Mobility,Climbing stairs,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,
Mobility,Wearing footwear,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,
Mobility,Walking long distances,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,
Mobility,Travel by public transportation,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,
Self Care,Dressing myself,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,
Self Care,Bathing,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,
Self Care,Washing clothes by myself,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,
Self Care,Difficulty in using Indian toilet,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,
Self Care,Difficulty in using Western toilet,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,
Usual activities,Problems in cooking,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,
Usual activities,Difficulty in cleaning floors,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,
Usual activities,Difficulty in gardening,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,
Usual activities,Difficulty in agrarian work,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,
Usual activities,Difficulty in continuing normal leisure activities,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,
Usual activities,Difficulty in continuing the job,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,
Usual activities,Difficulty in continuing the education,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,
Disease Burden,"History of painful redness, swelling and cellulitie of leg(filarial fever)",Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,
Disease Burden,Foul smell (Odour),Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,
Disease Burden,Itching (Eczema/Discharge from limb),Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,
Disease Burden,Wound (Non-healing ulcer),Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,
Disease Burden,Weight / size of limb,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,
Disease Burden,Frequency of purchasing new compression material,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,
Pain/Discomfort,Pain increases at night,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,
Pain/Discomfort,Pain increases during the day,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,
Pain/Discomfort,Pain increases while walking,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,
Pain/Discomfort,Pain increases while sitting,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,
Pain/Discomfort,Pain in the joints,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,
Pain/Discomfort,Pain in the unaffected part of body,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,
Pain/Discomfort,Painful ulcers,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,
Psychological Health,Experience sense of failure?,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,
Psychological Health,Fear something bad might happen to you?,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,
Psychological Health,Discouraged / tensed about the future?,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,
Psychological Health,Feeling neglected by friends and family members?,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,
Psychological Health,Feeling lonely?,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,
Psychological Health,Feeling tensed about your disease?,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,
Psychological Health,Find it difficult in concentration & memory?,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,
Social participation,Has your lifestyle changed after getting  the disease?,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,
Social participation,Do you have problem in moving around freely without feeling self-conscious?,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,
Social participation,Do you have problem in approaching people in the community?,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,
Social participation,Do you have problem joining in social activities/get together?,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,
Social participation,How much problem you have faced because of ill health?,Coded,,,,,,,No problem,Mild,Moderate,Severe,Most Severe,NA,,,,,,,,,,,,,,,,,,
